NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
1727,MAT-CSV-01727,,KANSTIN 40x20x10 K-250,PCS,12000,PD. KALIGUJI REJO,ACTIVE,INSERTED
1728,MAT-CSV-01728,,ASIBA 2 MTR,PCS,30000,SEWA SCAFOLDING,ACTIVE,INSERTED
1729,MAT-CSV-01729,,ASIBA 3 MTR,PCS,45000,SEWA SCAFOLDING,ACTIVE,INSERTED
1730,MAT-CSV-01730,,"PIPA SCAFFOLDING 4 MTR X 1,5 """,BATANG,32000,SEWA SCAFOLDING,ACTIVE,INSERTED
1731,MAT-CSV-01731,,"PIPA SCAFFOLDING 2 MTR X 1,5""",BATANG,16000,SEWA SCAFOLDING,ACTIVE,INSERTED
1732,MAT-CSV-01732,,"PIPA SCAFFOLDING 1,5 MTR X 1,5""",BATANG,16000,SEWA SCAFOLDING,ACTIVE,INSERTED
1733,MAT-CSV-01733,,UNP 80x45x6mtr,BATANG,399600,PT KARYA BENTENG BARU SEMESTA,ACTIVE,INSERTED
1734,MAT-CSV-01734,,ASIBA 3 MTR,UNIT,204000,SCAFOLDING SECOND,ACTIVE,INSERTED
1735,MAT-CSV-01735,,"PIPA SCAFFOLDING 4 MTR X 1,5 """,BATANG,272000,SCAFOLDING SECOND,ACTIVE,INSERTED
1736,MAT-CSV-01736,,"PIPA SCAFFOLDING 2 MTR X 1,5""",BATANG,136000,SCAFOLDING SECOND,ACTIVE,INSERTED
1737,MAT-CSV-01737,,INVOICE BULAN DESEMBER 2023,Lembar,1530500,NIRFAN RENTAL TEKNIK,ACTIVE,INSERTED
1738,MAT-CSV-01738,,GYPSUM JAYABOARD,LEMBAR,65000,MEGA BAJA CILEGON,ACTIVE,INSERTED
1739,MAT-CSV-01739,,"CNP BAJA RINGAN 0,75 SNI BIRU",BATANG,98000,MEGA BAJA CILEGON,ACTIVE,INSERTED
1740,MAT-CSV-01740,,"HOLO 40x40x0,35",BATANG,31000,MEGA BAJA CILEGON,ACTIVE,INSERTED
1741,MAT-CSV-01741,,COMPOUND APLUS,SAK,70000,TOKO BERKAT II,ACTIVE,INSERTED
1742,MAT-CSV-01742,,BENANG TUKANG,ROLL,10000,TOKO BERKAT II,ACTIVE,INSERTED
1743,MAT-CSV-01743,,KASA SAMBUNGAN,ROLL,17500,TOKO BERKAT II,ACTIVE,INSERTED
1744,MAT-CSV-01744,,"PAKU RIPET 4,8",PACK,135000,TOKO BERKAT II,ACTIVE,INSERTED
1745,MAT-CSV-01745,,KAWAT SCAFOLDING,KG,20000,TOKO BERKAT II,ACTIVE,INSERTED
1746,MAT-CSV-01746,,"PLAT BORDES SPEK IMPOR 3,7 FULL",LEMBAR,2330000,BAJA BALARAJA,ACTIVE,INSERTED
1747,MAT-CSV-01747,,KERAMIK MULIA CELESTE DARK GREY,DUS,63500,MEGAH HOME,ACTIVE,INSERTED
1748,MAT-CSV-01748,,KERAMIK MULIA CELESTE DARK GREY,DUS,63500,MEGAH HOME,ACTIVE,INSERTED
1749,MAT-CSV-01749,,"TALI PE 0,5mm",IKAT,20000,MUTIARA INDAH,ACTIVE,INSERTED
1750,MAT-CSV-01750,,PAKU 7,KG,20000,MUTIARA INDAH,ACTIVE,INSERTED
1751,MAT-CSV-01751,,PALU 1/2 LB,PCS,51000,MUTIARA INDAH,ACTIVE,INSERTED
