code,jenis,name,satuan,harga,vendor
MT-2026-1189,,"ELANG BENANG 3/8""",M,8500,
MT-2026-1190,,"APAKU BETON 3"" 7 CM",BOX,55000,
MT-2026-1191,,"BALL VALVE 1/2"" KUNINGAN",PCS,70000,
MT-2026-1192,,LAKBAN HITAM,PCS,14000,
MT-2026-1193,,"KLEM SELANG 5/8"" SS",PCS,6000,
MT-2026-1194,,KACAMATA SAFETY CLEAR,PCS,12500,
MT-2026-1195,,KATROL SINGLE 3TON ATS,PCS,260000,
MT-2026-1196,,BOR BATERAI,UNIT,450000,
MT-2026-1197,,ASDRAT SS 304 M18X1000,BATANG,306000,
MT-2026-1198,,NUT SS 304 M18,PCS,11000,
MT-2026-1199,,SCAFOLDING + CATWALK,SET,62500,
MT-2026-1200,,BOLT + NUT SS 304 M16x50,PCS,22700,
MT-2026-1201,,FISCHER S8,BOX,15000,
MT-2026-1202,,SKRUP FISCHER S8,BOX,35000,
MT-2026-1203,,MATA BOR BETON M8,PCS,15000,
MT-2026-1204,,STEKER BROCO,PCS,12000,
MT-2026-1205,,BODY HARNES,PCS,180000,
MT-2026-1206,,"KABEL NYYHY 3X1,5 + PULLER",ROLL,700000,
MT-2026-1207,,ROOFING SDS 12X25 KUNING KARET,BOX,200000,
MT-2026-1208,,STOP KONTAK 4LB UTICON,PCS,25000,
MT-2026-1209,,NOK GENTENG 4 SISI M-CLASS MAHOGANY INDENT 4DAYS,PCS,480000,
MT-2026-1210,,"HOLO BAJA RINGAN PLAFON 0,35 40x40",BATANG,31000,MEGABAJA SERANG
MT-2026-1211,,AS DRAT/FULL DRAT M10 x 1000 GALVANIS,BATANG,18500,PANJI RIMBA TEKNIK
MT-2026-1212,,MUR M10 GALVANIS,PCS,705,
MT-2026-1213,,ROOFING KUNING 12X25 KARET,BOX,200000,
MT-2026-1214,,MAIN FRAME A.1.90,SET,50000,CAHAYA INTI MANDIRI
MT-2026-1215,,CATWALK A.0.50,PCS,35000,
MT-2026-1216,,RODA CASTOR 6/8 INCH,SET,220000,
MT-2026-1217,,JOINPIN TN-1,PCS,10000,
MT-2026-1218,,"HOLO BAJA RINGAN PLAFON 0,35 38x38",BATANG,31000,
MT-2026-1219,,"HOLO BAJA RINGAN PLAFON 0,35 38x18",BATANG,25000,
MT-2026-1220,,SEIV BLUE PEACOK 480,PAIL,1260000,DUNIA BARU
MT-2026-1221,,THINNER KW1,JRG,380000,
MT-2026-1222,,"KOAS 2"" ETERNA",PCS,10000,
MT-2026-1223,,"MATA CUTTING BESI BESAR 14""",PCS,450000,
MT-2026-1224,,GYPSUM E-BOARD,LBR,48000,MEGABAJA SERANG
MT-2026-1225,,(MATERIAL LEBIH PADAT),PCS,0,
MT-2026-1226,,"SKRUP GYPSUM 3,5CM",BOX,150000,
MT-2026-1227,,"SKRUP GYPSUM 2,5CM",BOX,100000,
MT-2026-1228,,BAJA RINGAN CNP CILEGON STEEL STIKER BIRU SNI,BATANG,98000,MEGABAJA SERANG
MT-2026-1229,,HOLLOW PREMIUM LITE 18 X 38,BATANG,25000,
MT-2026-1230,,HOLLOW PREMIUM LITE 38 X 38,BATANG,31000,
MT-2026-1231,,ROOFING KUNING 12X25,BOX,136000,PANJI RIMBA TEKNIK
MT-2026-1232,,MUR M12 GALVANIS,PCS,750,
MT-2026-1233,,MUR M10 GALVANIS,PCS,470,
MT-2026-1234,,NUT GALVANIS M8,PCS,210,
MT-2026-1235,,ROOFING KUNING 12X25,DUS,134000,
MT-2026-1236,,CAT NP VINILEX - 300 WHITE,PAIL,863000,MITRA BARU
MT-2026-1237,,COMPUND APLUS CORNICE ADESHIVE,SAK,65000,
MT-2026-1238,,"PAKU RIVET 4,8MM",BOX,120000,
MT-2026-1239,,TANG RIVET 360 TKR,PCS,200000,
MT-2026-1240,,SILICON SEALENT KINAR PRO,PCS,47500,
MT-2026-1241,,GUN SILICION FREED,PCS,45000,
MT-2026-1242,,LIS GYPSUM ES-E8 8CM,BATANG,12000,LIS GYPSUM
MT-2026-1243,,ONGKIR,LOT,100000,
MT-2026-1244,,REFIL ROLL,BOX,72000,
MT-2026-1245,,"KABEL NYY 3X1,5",ROLL,875000,SURYA AGUNG CILEGON
MT-2026-1246,,"KABEL TIES 200X3,6",PACK,27500,
MT-2026-1247,,TANG POTONG BESAR,PCS,65000,
MT-2026-1248,,T-DUS 4 LUBANG,PCS,3500,
MT-2026-1249,,T-DUS 3 LUBANG,PCS,3000,
